no_of_rooms,surface,no_of_bathrooms,partitioning,age,price,no_of_terraces,no_of_parking,user_id,city,county,title
1,42,1,Decomandat,Nou,240,1,0,1,Cluj,Cluj-Napoca,Apartament 149
1,45,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 150
3,60,1,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 151
2,58,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 152
3,70,1,Decomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 153
3,70,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 154
2,60,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 155
3,65,2,Decomandat,Vechi,420,2,1,1,Cluj,Cluj-Napoca,Apartament 156
2,60,1,Decomandat,Nou,390,2,1,1,Cluj,Cluj-Napoca,Apartament 157
2,50,1,Semidecomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 158
1,50,1,Semidecomandat,Nou,270,1,0,1,Cluj,Cluj-Napoca,Apartament 159
4,85,2,Decomandat,Decomandat,400,1,1,1,Cluj,Cluj-Napoca,Apartament 160
3,57,1,Semidecomandat,Semidecomandat,550,1,1,1,Cluj,Cluj-Napoca,Apartament 161
3,67,1,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 162
2,60,1,Semidecomandat,Semidecomandat,450,1,1,1,Cluj,Cluj-Napoca,Apartament 163
2,56,1,Decomandat,Decomandat,420,1,1,1,Cluj,Cluj-Napoca,Apartament 164
2,45,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 165
2,60,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 166
2,45,1,Semidecomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 167
2,45,1,Semidecomandat,Nou,600,2,1,1,Cluj,Cluj-Napoca,Apartament 168
2,45,1,Vechi,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 169
3,58,1,Semidecomandat,Vechi,320,1,0,1,Cluj,Cluj-Napoca,Apartament 170
2,40,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 171
2,64,1,Decomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 172
3,80,2,Decomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 173
3,100,2,Semidecomandat,Vechi,430,2,1,1,Cluj,Cluj-Napoca,Apartament 174
2,50,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 175
3,48,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 176
3,76,2,Decomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 177
2,50,1,Decomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 178
1,30,1,Semidecomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 179
3,75,1,Decomandat,Vechi,350,2,1,1,Cluj,Cluj-Napoca,Apartament 180
3,75,2,Decomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 181
3,75,1,Decomandat,Nou,550,1,1,1,Cluj,Cluj-Napoca,Apartament 182
3,75,2,Semidecomandat,Nou,850,1,2,1,Cluj,Cluj-Napoca,Apartament 183
2,50,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 184
1,40,1,Decomandat,Vechi,470,2,1,1,Cluj,Cluj-Napoca,Apartament 185
4,82,2,Decomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 186
1,37,1,Decomandat,Nou,190,1,0,1,Cluj,Cluj-Napoca,Apartament 187
2,40,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 188
3,80,1,Semidecomandat,Nou,360,1,1,1,Cluj,Cluj-Napoca,Apartament 189
5,150,1,Semidecomandat,Nou,750,2,2,1,Cluj,Cluj-Napoca,Apartament 190
3,70,2,Decomandat,Vechi,390,1,1,1,Cluj,Cluj-Napoca,Apartament 191
2,70,1,Semidecomandat,Nou,650,2,1,1,Cluj,Cluj-Napoca,Apartament 192
2,71,1,Semidecomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 193
3,62,1,Semidecomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 194
1,25,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 195
2,122,2,Semidecomandat,Nou,1000,2,2,1,Cluj,Cluj-Napoca,Apartament 196
1,32,1,Decomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 197
2,45,1,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 198
3,66,2,Decomandat,Nou,500,1,1,1,Cluj,Cluj-Napoca,Apartament 199
1,38,1,Decomandat,Vechi,225,1,0,1,Cluj,Cluj-Napoca,Apartament 200
2,50,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 201
3,54,1,Semidecomandat,Vechi,490,1,1,1,Cluj,Cluj-Napoca,Apartament 202
3,67,1,Semidecomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 203
1,26,1,Decomandat,Vechi,200,1,0,1,Cluj,Cluj-Napoca,Apartament 204
4,85,2,Decomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 205
4,120,2,Semidecomandat,Vechi,1300,2,2,1,Cluj,Cluj-Napoca,Apartament 206
2,64,1,Decomandat,Nou,800,1,2,1,Cluj,Cluj-Napoca,Apartament 207
3,56,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 208
2,56,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 209
3,75,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 210
1,25,1,Semidecomandat,Nou,275,1,0,1,Cluj,Cluj-Napoca,Apartament 211
3,80,1,Decomandat,Vechi,400,2,1,1,Cluj,Cluj-Napoca,Apartament 212
2,40,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 213
3,75,2,Semidecomandat,Nou,950,2,2,1,Cluj,Cluj-Napoca,Apartament 214
1,33,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 215
1,28,1,Decomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 216
2,30,1,Semidecomandat,Vechi,250,1,0,1,Cluj,Cluj-Napoca,Apartament 217
2,55,1,Semidecomandat,Nou,570,1,1,1,Cluj,Cluj-Napoca,Apartament 218
2,45,1,Semidecomandat,Vechi,180,1,0,1,Cluj,Cluj-Napoca,Apartament 219
1,24,1,Decomandat,Vechi,210,1,0,1,Cluj,Cluj-Napoca,Apartament 220
3,87,2,Semidecomandat,Nou,630,2,1,1,Cluj,Cluj-Napoca,Apartament 221
2,45,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 222
1,35,1,Semidecomandat,Nou,200,1,0,1,Cluj,Cluj-Napoca,Apartament 223
2,65,1,Decomandat,Vechi,360,1,1,1,Cluj,Cluj-Napoca,Apartament 224
3,72,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 225
3,70,2,Semidecomandat,Nou,630,1,1,1,Cluj,Cluj-Napoca,Apartament 226
2,90,1,Semidecomandat,Nou,650,1,1,1,Cluj,Cluj-Napoca,Apartament 227
2,55,1,Semidecomandat,Nou,400,1,1,1,Cluj,Cluj-Napoca,Apartament 228
3,80,1,Semidecomandat,Nou,800,2,2,1,Cluj,Cluj-Napoca,Apartament 229
1,30,1,Semidecomandat,Nou,240,1,0,1,Cluj,Cluj-Napoca,Apartament 230
3,64,2,Semidecomandat,Nou,550,2,1,1,Cluj,Cluj-Napoca,Apartament 231
1,28,1,Decomandat,Vechi,280,1,0,1,Cluj,Cluj-Napoca,Apartament 232
2,54,1,Decomandat,Nou,430,1,1,1,Cluj,Cluj-Napoca,Apartament 233
3,65,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 234
2,51,1,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 235
2,52,1,Semidecomandat,Vechi,430,2,1,1,Cluj,Cluj-Napoca,Apartament 236
1,28,1,Decomandat,Nou,250,1,0,1,Cluj,Cluj-Napoca,Apartament 237
2,60,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 238
2,55,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 239
3,60,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 240
3,75,2,Semidecomandat,Vechi,600,2,1,1,Cluj,Cluj-Napoca,Apartament 241
2,65,2,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 242
3,70,2,Decomandat,Nou,450,1,1,1,Cluj,Cluj-Napoca,Apartament 243
1,37,1,Decomandat,Vechi,390,1,1,1,Cluj,Cluj-Napoca,Apartament 244
3,100,2,Semidecomandat,Nou,700,2,2,1,Cluj,Cluj-Napoca,Apartament 245
3,67,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 246
2,60,1,Semidecomandat,Nou,680,2,1,1,Cluj,Cluj-Napoca,Apartament 247
3,70,2,Decomandat,Nou,430,1,1,1,Cluj,Cluj-Napoca,Apartament 248
1,30,1,Decomandat,Vechi,230,1,0,1,Cluj,Cluj-Napoca,Apartament 249
2,45,1,Semidecomandat,Vechi,430,1,1,1,Cluj,Cluj-Napoca,Apartament 250
2,55,1,Decomandat,Nou,390,1,1,1,Cluj,Cluj-Napoca,Apartament 251
2,48,1,Semidecomandat,Vechi,185,1,0,1,Cluj,Cluj-Napoca,Apartament 252
2,60,1,Semidecomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 253
1,35,1,Decomandat,Nou,220,1,0,1,Cluj,Cluj-Napoca,Apartament 254
2,42,2,Semidecomandat,Nou,380,1,1,1,Cluj,Cluj-Napoca,Apartament 255
3,82,2,Semidecomandat,Vechi,600,2,1,1,Cluj,Cluj-Napoca,Apartament 256
2,57,1,Semidecomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 257
3,68,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 258
2,60,1,Decomandat,Vechi,340,1,0,1,Cluj,Cluj-Napoca,Apartament 259
4,75,2,Decomandat,Vechi,460,1,1,1,Cluj,Cluj-Napoca,Apartament 260
2,50,1,Semidecomandat,Vechi,490,1,1,1,Cluj,Cluj-Napoca,Apartament 261
2,65,1,Semidecomandat,Vechi,330,1,0,1,Cluj,Cluj-Napoca,Apartament 262
1,35,1,Semidecomandat,Vechi,170,1,0,1,Cluj,Cluj-Napoca,Apartament 263
1,11,1,Semidecomandat,Vechi,175,1,0,1,Cluj,Cluj-Napoca,Apartament 264
3,70,1,Semidecomandat,Nou,499,1,1,1,Cluj,Cluj-Napoca,Apartament 265
3,96,2,Semidecomandat,Nou,950,2,2,1,Cluj,Cluj-Napoca,Apartament 266
3,60,1,Semidecomandat,Nou,300,1,0,1,Cluj,Cluj-Napoca,Apartament 267
2,40,1,Semidecomandat,Nou,275,1,0,1,Cluj,Cluj-Napoca,Apartament 268
4,120,2,Semidecomandat,Vechi,450,1,1,1,Cluj,Cluj-Napoca,Apartament 269
2,50,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 270
3,67,2,Decomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 271
2,43,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 272
3,110,2,Semidecomandat,Nou,600,2,1,1,Cluj,Cluj-Napoca,Apartament 273
1,52,1,Decomandat,Vechi,380,1,1,1,Cluj,Cluj-Napoca,Apartament 274
3,78,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 275
2,57,1,Decomandat,Vechi,350,1,1,1,Cluj,Cluj-Napoca,Apartament 276
2,66,1,Decomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 277
3,76,1,Decomandat,Vechi,450,2,1,1,Cluj,Cluj-Napoca,Apartament 278
2,50,1,Semidecomandat,Vechi,550,1,1,1,Cluj,Cluj-Napoca,Apartament 279
1,24,1,Semidecomandat,Vechi,220,1,0,1,Cluj,Cluj-Napoca,Apartament 280
3,72,2,Semidecomandat,Vechi,475,2,1,1,Cluj,Cluj-Napoca,Apartament 281
3,75,2,Decomandat,Nou,420,1,1,1,Cluj,Cluj-Napoca,Apartament 282
1,30,1,Semidecomandat,Nou,350,1,1,1,Cluj,Cluj-Napoca,Apartament 283
4,120,2,Semidecomandat,Nou,950,2,2,1,Cluj,Cluj-Napoca,Apartament 284
2,70,1,Decomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 285
2,55,1,Decomandat,Vechi,300,1,0,1,Cluj,Cluj-Napoca,Apartament 286
2,57,1,Semidecomandat,Vechi,400,1,1,1,Cluj,Cluj-Napoca,Apartament 287
3,60,1,Semidecomandat,Nou,280,1,0,1,Cluj,Cluj-Napoca,Apartament 288
