web-scraper-order,web-scraper-start-url,apartamente,apartamente-href,no_of_rooms,surface,no_of_bathrooms,partitioning,price,no_of_terraces,cartier,title,age,user_id,city,county
1628179133-670,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament cu 3 camere, 100 de mp, 2 locuri de parcare, zona Oncos",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-buna-ziua-blitz23399ai,3,100,2,Semidecomandat,430,0,Buna Ziua,"Apartament cu 3 camere, 100 de mp, 2 locuri de parcare, zona Oncos", Nou,1,Cluj,Cluj-Napoca
1628179517-835,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=8,"Apartament 2 camere, 50 mp, decomandat, zona Spitalului de Recuperare",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-zorilor-blitz29737ai,2,50,1,Decomandat,350,1,Zorilor,"Apartament 2 camere, 50 mp, decomandat, zona Spitalului de Recuperare", Vechi,1,Cluj,Cluj-Napoca
1628179807-960,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=4,"Apartament 3 camere, 62 mp, imobil nou, zona Piata 1 Mai",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-marasti-blitz38795ai,3,62,1,Semidecomandat,450,0,Marasti,"Apartament 3 camere, 62 mp, imobil nou, zona Piata 1 Mai", Nou,1,Cluj,Cluj-Napoca
1628179067-642,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=14,"Apartament 1 camera, 45 mp, zona strazii Alexandru Odobescu",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-dambul-rotund-blitz57090ai,2,45,1,Semidecomandat,180,1,Dambul Rotund,"Apartament 1 camera, 45 mp, zona strazii Alexandru Odobescu", Vechi,1,Cluj,Cluj-Napoca
1628179713-920,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament cu 2 camere, recent renovat, prima inchiriere, 45mp, zona strazii Primaverii",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-manastur-blitz52819ai,2,45,1,Decomandat,500,1,Manastur,"Apartament cu 2 camere, recent renovat, prima inchiriere, 45mp, zona strazii Primaverii", Nou,1,Cluj,Cluj-Napoca
1628179083-648,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=13,"Apartament de 2 camere, 68 mp, parcare, zona Romul Ladea",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-borhanci-blitz67614ai,2,68,1,Semidecomandat,300,0,Borhanci,"Apartament de 2 camere, 68 mp, parcare, zona Romul Ladea", Nou,1,Cluj,Cluj-Napoca
1628179593-868,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=7,"3 camere, 75 mp, prima inchiriere, doua parcari, zona Complex Citadinia",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-3-camere-zorilor-blitz49062ai,3,75,2,Semidecomandat,700,2,Zorilor,"3 camere, 75 mp, prima inchiriere, doua parcari, zona Complex Citadinia", Nou,1,Cluj,Cluj-Napoca
1628179329-754,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=10,"2 camere decomandate, 70 mp, zona Calea Borhanciului",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-borhanci-blitz68159ai,2,70,1,Decomandat,430,1,Borhanci,"2 camere decomandate, 70 mp, zona Calea Borhanciului", Nou,1,Cluj,Cluj-Napoca
1628179679-905,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=6,"Apartament 2 camere decomandate, 65 mp, gradina, zona UMF",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz56599ai,2,65,2,Decomandat,350,0,Central,"Apartament 2 camere decomandate, 65 mp, gradina, zona UMF", Vechi,1,Cluj,Cluj-Napoca
1628179994-1041,https://www.blitz.ro/cluj-napoca/inchirieri-apartamente?page=2,"Apartament 2 camere decomandate, loc de parcare, 60 mp, zona ultracentrala",https://www.blitz.ro/cluj-napoca/apartament-inchiriat-2-camere-central-blitz67454ai,2,60,1,Decomandat,499,1,Central,"Apartament 2 camere decomandate, loc de parcare, 60 mp, zona ultracentrala", Nou,1,Cluj,Cluj-Napoca
